Id,FXY,ElementName_fr,CodeFigure,EntryName_fr,EntryName_sub1_fr,EntryName_sub2_fr,Note_fr,noteIDs,Status,translation
bufr4/0/30/031/0,030031,Type d'image,0,PPI,,,,,Operational,original
bufr4/0/30/031/1,030031,Type d'image,1,Composite,,,,,Operational,original
bufr4/0/30/031/2,030031,Type d'image,2,CAPPI,,,,,Operational,original
bufr4/0/30/031/3,030031,Type d'image,3,Section verticale,,,,,Operational,original
bufr4/0/30/031/4,030031,Type d'image,4,Données alphanumériques,,,,,Operational,original
bufr4/0/30/031/5,030031,Type d'image,5,Carte des échos fixes,,,,,Operational,original
bufr4/0/30/031/6,030031,Type d'image,6,Carte,,,,,Operational,original
bufr4/0/30/031/7,030031,Type d'image,7,Image test,,,,,Operational,original
bufr4/0/30/031/8,030031,Type d'image,8,Commentaires,,,,,Operational,original
bufr4/0/30/031/9,030031,Type d'image,9,Carte d'occultation au sol,,,,,Operational,original
bufr4/0/30/031/10,030031,Type d'image,10,Carte de hauteur du faisceau radar,,,,,Operational,original
bufr4/0/30/031/11-13,030031,Type d'image,11-13,En réserve,,,,,Operational,original
bufr4/0/30/031/14,030031,Type d'image,14,Autre,,,,,Operational,original
bufr4/0/30/031/15,030031,Type d'image,15,Valeur manquante,,,,,Operational,original
bufr4/0/30/032/1,030032,Combinaison avec d'autres données,1,Carte,,,,,Operational,original
bufr4/0/30/032/2,030032,Combinaison avec d'autres données,2,Données satellitaires dans l'infrarouge,,,,,Operational,original
bufr4/0/30/032/3,030032,Combinaison avec d'autres données,3,Données satellitaires dans le visible,,,,,Operational,original
bufr4/0/30/032/4,030032,Combinaison avec d'autres données,4,Données satellitaires dans les bandes d'absorption de la vapeur d'eau,,,,,Operational,original
bufr4/0/30/032/5,030032,Combinaison avec d'autres données,5,Données satellitaires multispectrales,,,,,Operational,original
bufr4/0/30/032/6,030032,Combinaison avec d'autres données,6,Observations synoptiques,,,,,Operational,original
bufr4/0/30/032/7,030032,Combinaison avec d'autres données,7,Paramètres prévus,,,,,Operational,original
bufr4/0/30/032/8,030032,Combinaison avec d'autres données,8,Données sur les éclairs,,,,,Operational,original
bufr4/0/30/032/9-14,030032,Combinaison avec d'autres données,9-14,En réserve,,,,,Operational,original
bufr4/0/30/032/15,030032,Combinaison avec d'autres données,15,Autres données,,,,,Operational,original
bufr4/0/30/032/16-bits-mis-à-1,030032,Combinaison avec d'autres données,16 bits mis à 1,Valeur manquante,,,,,Operational,original
