CodeFigure,Meaning_ru,Status
0,Приземные данные — суша,Operational
1,Приземные данные — море,Operational
2,Данные вертикального зондирования (отличные от данных спутникового зондирования),Operational
3,Данные вертикального зондирования (спутниковые),Operational
4,Аэрологические данные по одному уровню (отличные от спутников),Operational
5,Аэрологические данные по одному уровню (спутниковые),Operational
6,Радиолокационные данные,Operational
7,Синоптические характеристики,Operational
8,Физические/химические составляющие,Operational
9,Рассеивание и перенос,Operational
10,Радиологические данные,Operational
11,"Таблицы кода BUFR, полная замена или корректировка",Operational
12,Приземные данные (спутниковые),Operational
13,Прогнозы,Operational
14,Предупреждения,Operational
15-19,Зарезервированы,Operational
20,Информация о статусе,Operational
21,Радиация (измерена со спутника),Operational
22,"Радиолокатор (спутниковый), а не альтиметр и скаттерометр",Operational
23,Лидар (спутниковый),Operational
24,Скатерометрия (спутниковая),Operational
25,Альтиметрия (спутниковая),Operational
26,Спектрометрия (спутниковая),Operational
27,Гравиметрическое измерение (спутниковое),Operational
28,Точные параметры орбиты (спутника),Operational
29,Космическая среда (спутниковые данные),Operational
30,Комплекты данных калибровки (спутниковых),Operational
31,Океанографические данные,Operational
32-100,Зарезервированы,Operational
101,Данные изображения (спутникового),Operational
102-239,Зарезервированы,Operational
240-254,Для экспериментального использования,Operational
255,Иная категория,Operational
