Id,Category,CategoryOfSequences_ru,FXY1,Title_ru,SubTitle_ru,FXY2,ElementName_ru,ElementDescription_ru,Note_ru,noteIDs,Status
bufr4/3/04/001/1/008003,04,"Метеорологические последовательности, общепринятые",304001,Вертикальная значимость (спутниковые наблюдения),,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational
bufr4/3/04/001/2/010004,04,"Метеорологические последовательности, общепринятые",304001,Вертикальная значимость (спутниковые наблюдения),,010004,Давление,,,,Operational
bufr4/3/04/001/3/012001,04,"Метеорологические последовательности, общепринятые",304001,Вертикальная значимость (спутниковые наблюдения),,012001,Температура/температура воздуха,,,,Operational
bufr4/3/04/001/4/011001,04,"Метеорологические последовательности, общепринятые",304001,Вертикальная значимость (спутниковые наблюдения),,011001,Направление ветра,,,,Operational
bufr4/3/04/001/5/011002,04,"Метеорологические последовательности, общепринятые",304001,Вертикальная значимость (спутниковые наблюдения),,011002,"Скорость ветра (Давление на верхней границе облачности, ветер)",,,,Operational
bufr4/3/04/002/1/008003,04,"Метеорологические последовательности, общепринятые",304002,Вертикальная значимость (спутниковые наблюдения),,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational
bufr4/3/04/002/2/010004,04,"Метеорологические последовательности, общепринятые",304002,Вертикальная значимость (спутниковые наблюдения),,010004,Давление,,,,Operational
bufr4/3/04/002/3/011001,04,"Метеорологические последовательности, общепринятые",304002,Вертикальная значимость (спутниковые наблюдения),,011001,Направление ветра,,,,Operational
bufr4/3/04/002/4/011002,04,"Метеорологические последовательности, общепринятые",304002,Вертикальная значимость (спутниковые наблюдения),,011002,Скорость ветра (Приземная температура),,,,Operational
bufr4/3/04/003/1/008003,04,"Метеорологические последовательности, общепринятые",304003,Вертикальная значимость (спутниковые наблюдения),,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational
bufr4/3/04/003/2/012001,04,"Метеорологические последовательности, общепринятые",304003,Вертикальная значимость (спутниковые наблюдения),,012001,"Температура/температура воздуха (Давление на верхней границе облаков, облачный покров, температура)",,,,Operational
bufr4/3/04/004/1/008003,04,"Метеорологические последовательности, общепринятые",304004,Вертикальная значимость (спутниковые наблюдения),,008003,Вертикальная значимость (спутниковые наблюдения),,,,Operational
bufr4/3/04/004/2/010004,04,"Метеорологические последовательности, общепринятые",304004,Вертикальная значимость (спутниковые наблюдения),,010004,Давление,,,,Operational
bufr4/3/04/004/3/020010,04,"Метеорологические последовательности, общепринятые",304004,Вертикальная значимость (спутниковые наблюдения),,020010,Облачность (общая),,,,Operational
bufr4/3/04/004/4/012001,04,"Метеорологические последовательности, общепринятые",304004,Вертикальная значимость (спутниковые наблюдения),,012001,Температура/температура воздуха (Средняя относительная влажность по слою),,,,Operational
bufr4/3/04/005/1/002024,04,"Метеорологические последовательности, общепринятые",304005,Метод вычисления средней влажности по слою,,002024,Метод вычисления средней влажности по слою,,,,Operational
bufr4/3/04/005/2/007004,04,"Метеорологические последовательности, общепринятые",304005,Метод вычисления средней влажности по слою,,007004,Давление Определяет,,,,Operational
bufr4/3/04/005/3/007004,04,"Метеорологические последовательности, общепринятые",304005,Метод вычисления средней влажности по слою,,007004,Давление слой,,,,Operational
bufr4/3/04/005/4/013003,04,"Метеорологические последовательности, общепринятые",304005,Метод вычисления средней влажности по слою,,013003,Относительная влажность (Радиация),,,,Operational
bufr4/3/04/006/1/014001,04,"Метеорологические последовательности, общепринятые",304006,"Длинноволновая радиация, интегрированная Восходящая за 24 часа длинноволновая радиация",,014001,"Длинноволновая радиация, интегрированная Восходящая за 24 часа длинноволновая радиация",,,,Operational
bufr4/3/04/006/2/014001,04,"Метеорологические последовательности, общепринятые",304006,"Длинноволновая радиация, интегрированная Восходящая за 24 часа длинноволновая радиация",,014001,"Длинноволновая радиация, интегрированная Нисходящая за 24 часа длинноволновая радиация",,,,Operational
bufr4/3/04/006/3/014003,04,"Метеорологические последовательности, общепринятые",304006,"Длинноволновая радиация, интегрированная Восходящая за 24 часа длинноволновая радиация",,014003,"Коротковолновая радиация, интегрированная Восходящая за 24 часа коротковолновая радиация (GOES-I/M инфо)",,,,Operational
bufr4/3/04/011/1/002163,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,002163,Метод определения высоты,,,,Operational
bufr4/3/04/011/2/002164,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,002164,Метод корреляции слежения,,,,Operational
bufr4/3/04/011/3/008012,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,008012,Описатель суши/моря,,,,Operational
bufr4/3/04/011/4/007024,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,007024,Зенитный угол спутника,,,,Operational
bufr4/3/04/011/5/002057,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,002057,Источник информации в нулевом приближении для зондирований с GOES-I/M,,,,Operational
bufr4/3/04/011/6/008021,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,008021,Значимость времени,,,,Operational
bufr4/3/04/011/7/004001,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,004001,Год,,,,Operational
bufr4/3/04/011/8/004002,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,004002,Месяц,,,,Operational
bufr4/3/04/011/9/004003,04,"Метеорологические последовательности, общепринятые",304011,Метод определения высоты,,004003,День I.2 — Табл. D BUFR/04 — 1,(продолж.),,,Operational
bufr4/3/04/011/1/004004,04,"Метеорологические последовательности, общепринятые",304011,Час,,004004,Час,,,,Operational
